Ticker,Date,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7 Percent,Daycount,Overall Percent Change (Day 1 to 6),Outcome
AAPL,2014-10-15,21.367487,21.680471,22.144407,22.745962,22.861391,23.269833,0.37,0,8.9,6
AAPL,2014-10-16,21.680471,22.144407,22.745962,22.861391,23.269833,23.356398,-0.1,2,7.73,4
AAPL,2015-01-15,23.629343,24.237965,24.42301,25.05838,25.187685,25.214432,-3.5,2,6.71,0
AAPL,2015-02-05,26.618816,26.795637,27.310415,27.950542,28.304178,28.442945,0.59,1,6.85,6
AAPL,2015-02-08,26.795637,27.310415,27.950542,28.304178,28.442945,28.6108,0.7,0,6.77,6
AAPL,2015-02-09,27.310415,27.950542,28.304178,28.442945,28.6108,28.810001,-0.21,2,5.49,4
AAPL,2015-09-08,24.868727,25.415096,25.785353,26.033709,26.252705,26.282049,-2.14,0,5.68,2
AAPL,2016-03-07,23.031626,23.052141,23.063536,23.312023,23.3713,23.840914,1.33,0,3.51,7
AAPL,2016-03-08,23.052141,23.063536,23.312023,23.3713,23.840914,24.157793,-0.16,1,4.8,4
AAPL,2016-04-06,24.743668,24.771029,24.853085,25.176807,25.541561,25.555237,-2.01,0,3.28,2
AAPL,2016-05-18,21.605347,21.839296,22.116816,22.45397,22.848463,23.029654,-0.06,0,6.59,4
AAPL,2016-07-04,21.786541,21.910391,22.004433,22.174152,22.242956,22.34388,-0.56,1,2.56,4
AAPL,2016-08-01,23.963137,24.263588,24.413481,24.784742,24.989977,25.091442,-0.74,0,4.71,4
AAPL,2016-10-02,25.946964,26.057652,26.069178,26.26288,26.30208,26.760969,0.22,1,3.14,5
AAPL,2016-10-03,26.057652,26.069178,26.26288,26.30208,26.760969,26.818619,0.89,0,2.92,7
AAPL,2016-10-04,26.069178,26.26288,26.30208,26.760969,26.818619,27.058443,-0.31,1,3.79,4
AAPL,2016-12-13,26.699038,26.845062,26.879831,27.03512,27.106974,27.132475,-0.66,2,1.62,4
AAPL,2017-01-03,26.891415,27.028168,27.329481,27.579807,27.607626,27.75596,-0.42,0,3.21,4
AAPL,2017-02-01,29.791012,29.918493,30.19895,30.486361,30.604568,30.82571,-0.23,3,3.47,4
AAPL,2017-07-05,33.3629,33.701832,33.907532,34.017403,34.066475,34.540993,0.86,3,3.53,7
AAPL,2017-07-06,33.701832,33.907532,34.017403,34.066475,34.540993,34.837852,0.35,2,3.37,6
AAPL,2017-07-09,33.907532,34.017403,34.066475,34.540993,34.837852,34.959404,0.35,1,3.1,6
AAPL,2017-07-10,34.017403,34.066475,34.540993,34.837852,34.959404,35.080952,0.63,0,3.13,6
AAPL,2017-07-11,34.066475,34.540993,34.837852,34.959404,35.080952,35.300674,-0.45,0,3.62,4
AAPL,2017-08-23,37.37529,37.513752,37.891563,38.229485,38.332729,38.485271,0.03,0,2.97,5
AAPL,2017-08-24,37.513752,37.891563,38.229485,38.332729,38.485271,38.497009,-1.2,0,2.62,3
AAPL,2017-10-31,39.163456,39.449745,40.479935,40.890602,41.022007,41.357586,-0.2,0,5.6,4
AAPL,2018-02-07,36.539352,36.986286,38.476048,38.861488,39.577999,40.906956,-0.32,0,11.95,4
AAPL,2018-04-26,38.383812,39.079041,39.987099,41.753525,41.829197,43.470299,0.72,3,13.25,6
AAPL,2018-04-29,39.079041,39.987099,41.753525,41.829197,43.470299,43.784794,0.48,2,12.04,6
AAPL,2018-04-30,39.987099,41.753525,41.829197,43.470299,43.784794,43.995255,0.7,1,10.02,6
AAPL,2018-05-01,41.753525,41.829197,43.470299,43.784794,43.995255,44.305038,1.43,0,6.11,7
AAPL,2018-05-02,41.829197,43.470299,43.784794,43.995255,44.305038,44.938766,-0.38,0,7.43,4
AAPL,2018-07-29,45.081188,45.171398,47.832455,49.23064,49.373066,49.62944,-0.94,2,10.09,3
AAPL,2018-08-09,49.436649,49.755844,49.965477,50.082211,50.815903,51.8307,-0.97,0,4.84,3
AAPL,2018-08-20,51.225628,51.228016,51.33284,51.492432,51.916447,52.335724,1.49,3,2.17,7
AAPL,2018-08-21,51.228016,51.33284,51.492432,51.916447,52.335724,53.117054,0.92,2,3.69,7
AAPL,2018-08-22,51.33284,51.492432,51.916447,52.335724,53.117054,53.6054,1.16,1,4.43,7
AAPL,2018-08-23,51.492432,51.916447,52.335724,53.117054,53.6054,54.22477,0.32,0,5.31,6
AAPL,2018-08-26,51.916447,52.335724,53.117054,53.6054,54.22477,54.398659,-0.65,0,4.78,4
AAPL,2018-09-25,52.50724,53.586338,53.774525,54.136616,54.617809,55.282433,-1.76,0,5.29,2
AAPL,2019-01-28,36.975586,39.502285,39.786762,39.805878,40.936558,41.636967,0.03,0,12.61,5
AAPL,2019-01-29,39.502285,39.786762,39.805878,40.936558,41.636967,41.651306,-1.89,1,5.44,2
AAPL,2019-03-06,41.41222,41.510654,42.948677,43.431229,43.623276,44.108212,1.3,1,6.51,7
AAPL,2019-03-07,41.510654,42.948677,43.431229,43.623276,44.108212,44.681984,1.02,0,7.64,7
AAPL,2019-03-10,42.948677,43.431229,43.623276,44.108212,44.681984,45.138123,-0.79,2,5.1,4
AAPL,2019-03-25,44.842827,45.246151,45.306168,45.60146,45.911152,46.578548,0.69,3,3.87,6
AAPL,2019-03-26,45.246151,45.306168,45.60146,45.911152,46.578548,46.897839,0.17,2,3.65,5
AAPL,2019-03-27,45.306168,45.60146,45.911152,46.578548,46.897839,46.979462,0.67,1,3.69,6
AAPL,2019-03-28,45.60146,45.911152,46.578548,46.897839,46.979462,47.293964,1.57,0,3.71,7
AAPL,2019-03-31,45.911152,46.578548,46.897839,46.979462,47.293964,48.038174,-0.3,1,4.63,4
AAPL,2019-04-11,47.742882,47.829327,47.83411,48.765587,48.940842,49.101696,1.44,0,2.85,7
AAPL,2019-04-14,47.829327,47.83411,48.765587,48.940842,49.101696,49.809891,-0.15,0,4.14,4
AAPL,2019-06-02,41.764492,43.2924,43.991287,44.637154,45.825264,46.410877,1.16,0,11.13,7
AAPL,2019-06-03,43.2924,43.991287,44.637154,45.825264,46.410877,46.948307,-0.32,0,8.44,4
AAPL,2019-12-08,64.764748,65.143257,65.698898,65.866318,66.76165,67.90448,0.2,0,4.85,5
AAPL,2019-12-09,65.143257,65.698898,65.866318,66.76165,67.90448,68.037918,-0.24,1,4.44,4
AAPL,2020-04-30,70.305649,71.300369,72.370499,73.117172,73.873566,75.631866,1.57,0,7.58,7
AAPL,2020-05-03,71.300369,72.370499,73.117172,73.873566,75.631866,76.82196,-1.14,0,7.74,3
AAPL,2020-07-27,90.966499,92.710197,93.832008,103.655151,106.267006,106.976677,0.36,1,17.6,6
AAPL,2020-07-28,92.710197,93.832008,103.655151,106.267006,106.976677,107.364426,3.49,0,15.81,9
AAPL,2020-07-29,93.832008,103.655151,106.267006,106.976677,107.364426,111.110306,-2.27,1,18.41,2
AAPL,2020-08-16,111.99958,112.932861,113.074554,115.583641,121.539948,122.993607,-0.82,1,9.82,3
AAPL,2020-11-22,111.451279,112.743469,113.585335,114.133545,116.541718,120.134392,0.29,0,7.79,6
AAPL,2020-11-23,112.743469,113.585335,114.133545,116.541718,120.134392,120.486794,-0.11,0,6.87,4
AAPL,2021-01-14,124.461281,125.136719,129.248245,133.986252,136.139938,139.908783,0.17,0,12.41,5
